CustomerID,Age,Gender,Tenure,Contract,PaymentMethod,SubscriptionPlan,MonthlyCharges,TotalCharges,LastLoginDays,JoinMonth,Churn,ChurnLabel,TenureBucket,AgeGroup,ChargeBracket,AutoPay
CUST-00017,41,Male,18,Month-to-Month,Electronic Check,Premium,78.06,1414.13,38,2022-02,0,No,12–24 months,36–45,Very High (>$75),0
CUST-00018,20,Female,41,One Year,Bank Transfer (Auto),Premium,94.38,3870.83,17,2023-08,0,No,24+ months,18–25,Very High (>$75),1
CUST-00019,39,Female,72,Month-to-Month,Credit Card (Auto),Premium,86.78,6247.01,15,2023-07,1,Yes,24+ months,36–45,Very High (>$75),1
CUST-00020,70,Female,35,Month-to-Month,Bank Transfer (Auto),Basic,27.72,967.39,16,2022-11,0,No,24+ months,60+,Low (<$30),1
CUST-00021,19,Female,7,Month-to-Month,Credit Card (Auto),Premium,89.31,620.53,5,2022-06,1,Yes,3–12 months,18–25,Very High (>$75),1
CUST-00022,41,Female,72,Two Year,Mailed Check,Basic,31.55,2273.09,11,2023-05,0,No,24+ months,36–45,Mid ($30–55),0
CUST-00023,61,Male,9,Month-to-Month,Electronic Check,Basic,28.32,247.44,14,2022-05,0,No,3–12 months,60+,Low (<$30),0
CUST-00024,47,Female,5,Month-to-Month,Electronic Check,Basic,30.95,163.13,5,2022-11,1,Yes,3–12 months,46–60,Mid ($30–55),0
CUST-00025,55,Male,3,Two Year,Mailed Check,Standard,55.62,160.38,23,2022-04,0,No,0–3 months,46–60,High ($55–75),0
CUST-00026,19,Male,26,One Year,Electronic Check,Standard,54.3,1416.71,5,2022-01,0,No,24+ months,18–25,Mid ($30–55),0
CUST-00027,38,Female,3,Month-to-Month,Electronic Check,Basic,31.98,92.08,1,2023-04,0,No,0–3 months,36–45,Mid ($30–55),0
CUST-00028,50,Female,4,Two Year,Mailed Check,Basic,32.7,125.32,3,2022-04,1,Yes,3–12 months,46–60,Mid ($30–55),0
CUST-00029,29,Male,11,One Year,Bank Transfer (Auto),Standard,50.33,554.79,7,2023-03,0,No,3–12 months,26–35,Mid ($30–55),1
CUST-00030,39,Female,10,Month-to-Month,Mailed Check,Premium,87.22,877.5,35,2023-11,1,Yes,3–12 months,36–45,Very High (>$75),0
CUST-00031,61,Male,29,Month-to-Month,Credit Card (Auto),Standard,59.61,1733.22,8,2022-03,0,No,24+ months,60+,High ($55–75),1
CUST-00032,42,Male,54,One Year,Bank Transfer (Auto),Standard,49.41,2662.82,1,2022-12,0,No,24+ months,36–45,Mid ($30–55),1
CUST-00033,66,Male,45,One Year,Bank Transfer (Auto),Standard,63.79,2867.16,3,2023-09,0,No,24+ months,60+,High ($55–75),1
CUST-00034,44,Female,9,Month-to-Month,Credit Card (Auto),Premium,86.83,788.85,11,2023-12,0,No,3–12 months,36–45,Very High (>$75),1
CUST-00035,59,Female,9,Month-to-Month,Electronic Check,Premium,88.96,805.1,2,2023-03,0,No,3–12 months,46–60,Very High (>$75),0
CUST-00036,45,Male,72,Month-to-Month,Bank Transfer (Auto),Standard,51.02,3677.69,0,2022-11,1,Yes,24+ months,36–45,Mid ($30–55),1
CUST-00037,33,Female,1,One Year,Credit Card (Auto),Standard,52.49,47.87,18,2022-03,1,Yes,0–3 months,26–35,Mid ($30–55),1
CUST-00038,32,Male,67,Month-to-Month,Bank Transfer (Auto),Premium,80.05,5369.19,23,2023-07,0,No,24+ months,26–35,Very High (>$75),1
CUST-00039,64,Female,7,Month-to-Month,Bank Transfer (Auto),Premium,82.48,574.53,28,2022-11,0,No,3–12 months,60+,Very High (>$75),1
CUST-00040,68,Male,72,One Year,Mailed Check,Basic,26.36,1895.95,27,2022-08,0,No,24+ months,60+,Low (<$30),0
CUST-00041,61,Male,13,One Year,Bank Transfer (Auto),Standard,62.16,803.83,7,2023-07,0,No,12–24 months,60+,High ($55–75),1
CUST-00042,69,Female,18,Month-to-Month,Electronic Check,Premium,87.06,1559.51,19,2022-02,1,Yes,12–24 months,60+,Very High (>$75),0
CUST-00043,20,Male,39,Month-to-Month,Credit Card (Auto),Standard,52.15,2032.26,13,2022-02,0,No,24+ months,18–25,Mid ($30–55),1
CUST-00044,54,Male,28,Month-to-Month,Credit Card (Auto),Standard,48.75,1355.34,0,2022-12,0,No,24+ months,46–60,Mid ($30–55),1
CUST-00045,68,Female,12,Month-to-Month,Credit Card (Auto),Standard,58.56,701.84,7,2022-08,0,No,3–12 months,60+,High ($55–75),1
CUST-00046,24,Female,25,Two Year,Bank Transfer (Auto),Basic,25.13,632.75,0,2022-06,0,No,24+ months,18–25,Low (<$30),1
CUST-00047,38,Male,41,One Year,Electronic Check,Basic,34.72,1432.73,1,2022-03,0,No,24+ months,36–45,Mid ($30–55),0
CUST-00048,26,Male,1,Month-to-Month,Electronic Check,Premium,91.25,82.82,0,2022-11,1,Yes,0–3 months,26–35,Very High (>$75),0
CUST-00049,56,Male,1,Month-to-Month,Credit Card (Auto),Standard,61.73,57.36,48,2023-04,0,No,0–3 months,46–60,High ($55–75),1
CUST-00050,35,Female,19,Month-to-Month,Mailed Check,Premium,78.2,1485.68,27,2022-11,0,No,12–24 months,26–35,Very High (>$75),0
CUST-00051,21,Male,4,One Year,Electronic Check,Premium,91.21,358.25,8,2022-10,0,No,3–12 months,18–25,Very High (>$75),0
CUST-00052,42,Female,34,Month-to-Month,Mailed Check,Standard,51.3,1736.54,4,2022-10,1,Yes,24+ months,36–45,Mid ($30–55),0
CUST-00053,31,Female,7,Two Year,Mailed Check,Premium,87.95,614.7,1,2023-05,0,No,3–12 months,26–35,Very High (>$75),0
CUST-00054,67,Male,18,One Year,Bank Transfer (Auto),Basic,25.6,462.41,8,2022-11,0,No,12–24 months,60+,Low (<$30),1
CUST-00055,26,Male,7,Month-to-Month,Mailed Check,Standard,57.71,410.37,13,2023-10,0,No,3–12 months,26–35,High ($55–75),0
CUST-00056,43,Male,25,Two Year,Bank Transfer (Auto),Standard,50.26,1266.46,23,2023-02,0,No,24+ months,36–45,Mid ($30–55),1
CUST-00057,70,Male,3,One Year,Credit Card (Auto),Standard,55.76,172.77,0,2022-09,0,No,0–3 months,60+,High ($55–75),1
CUST-00058,19,Female,1,One Year,Electronic Check,Basic,18.62,13.05,8,2023-04,0,No,0–3 months,18–25,Low (<$30),0
CUST-00059,37,Male,1,Two Year,Electronic Check,Basic,18.69,23.65,56,2022-06,1,Yes,0–3 months,36–45,Low (<$30),0
CUST-00060,45,Male,72,Month-to-Month,Mailed Check,Basic,29.17,2100.98,1,2023-05,0,No,24+ months,36–45,Low (<$30),0
CUST-00061,64,Female,4,Month-to-Month,Credit Card (Auto),Standard,64.17,255.7,7,2023-10,1,Yes,3–12 months,60+,High ($55–75),1
CUST-00062,24,Male,39,Two Year,Mailed Check,Premium,91.21,3565.9,4,2023-10,0,No,24+ months,18–25,Very High (>$75),0
CUST-00063,61,Female,2,One Year,Mailed Check,Premium,85.97,175.98,2,2022-03,0,No,0–3 months,60+,Very High (>$75),0
CUST-00064,25,Male,3,Two Year,Bank Transfer (Auto),Basic,18.94,60.45,27,2022-02,0,No,0–3 months,18–25,Low (<$30),1
CUST-00065,64,Female,22,Month-to-Month,Mailed Check,Basic,18.76,402.96,17,2022-11,1,Yes,12–24 months,60+,Low (<$30),0
CUST-00066,52,Female,20,One Year,Credit Card (Auto),Basic,20.67,420.7,7,2023-12,0,No,12–24 months,46–60,Low (<$30),1
CUST-00067,31,Female,72,Month-to-Month,Credit Card (Auto),Standard,64.58,4655.63,6,2023-06,1,Yes,24+ months,26–35,High ($55–75),1
CUST-00068,34,Female,72,Month-to-Month,Mailed Check,Premium,84.77,6099.42,26,2023-11,1,Yes,24+ months,26–35,Very High (>$75),0
CUST-00069,53,Male,48,Month-to-Month,Bank Transfer (Auto),Premium,92.33,4427.68,1,2022-03,0,No,24+ months,46–60,Very High (>$75),1
CUST-00070,67,Male,29,Month-to-Month,Electronic Check,Basic,29.98,860.49,2,2023-03,0,No,24+ months,60+,Low (<$30),0
CUST-00071,57,Female,19,Month-to-Month,Bank Transfer (Auto),Basic,28.28,528.34,35,2022-05,1,Yes,12–24 months,46–60,Low (<$30),1
CUST-00072,21,Female,14,One Year,Bank Transfer (Auto),Basic,34.1,480.77,25,2022-11,0,No,12–24 months,18–25,Mid ($30–55),1
CUST-00073,19,Male,72,Month-to-Month,Mailed Check,Standard,51.91,3731.24,22,2022-03,0,No,24+ months,18–25,Mid ($30–55),0
CUST-00074,23,Male,29,Month-to-Month,Electronic Check,Premium,85.72,2494.35,14,2023-03,0,No,24+ months,18–25,Very High (>$75),0
CUST-00075,71,Male,27,Month-to-Month,Credit Card (Auto),Standard,62.69,1699.48,5,2022-03,0,No,24+ months,60+,High ($55–75),1
CUST-00076,59,Male,8,Month-to-Month,Mailed Check,Premium,87.37,695.94,40,2022-07,1,Yes,3–12 months,46–60,Very High (>$75),0
CUST-00077,21,Male,1,Two Year,Bank Transfer (Auto),Standard,52.18,49.78,10,2022-07,0,No,0–3 months,18–25,Mid ($30–55),1
CUST-00078,71,Female,72,Month-to-Month,Electronic Check,Basic,21.54,1547.43,4,2023-11,0,No,24+ months,60+,Low (<$30),0
CUST-00079,46,Male,12,Month-to-Month,Mailed Check,Basic,30.79,361.33,6,2022-11,0,No,3–12 months,46–60,Mid ($30–55),0
CUST-00080,35,Male,18,Two Year,Credit Card (Auto),Basic,18.21,318.41,0,2023-04,0,No,12–24 months,26–35,Low (<$30),1
CUST-00081,43,Female,3,One Year,Mailed Check,Premium,93.53,279.63,4,2022-04,0,No,0–3 months,36–45,Very High (>$75),0
CUST-00082,61,Female,58,One Year,Bank Transfer (Auto),Premium,78.3,4550.26,3,2022-11,0,No,24+ months,60+,Very High (>$75),1
CUST-00083,51,Female,1,One Year,Electronic Check,Premium,88.72,97.06,2,2023-02,1,Yes,0–3 months,46–60,Very High (>$75),0
CUST-00084,27,Female,57,Two Year,Mailed Check,Basic,28.27,1617.59,0,2022-08,0,No,24+ months,26–35,Low (<$30),0
CUST-00085,53,Male,4,Month-to-Month,Credit Card (Auto),Premium,87.82,353.85,3,2023-05,1,Yes,3–12 months,46–60,Very High (>$75),1
CUST-00086,31,Female,69,Two Year,Mailed Check,Basic,26.05,1804.57,1,2023-11,0,No,24+ months,26–35,Low (<$30),0
CUST-00087,48,Female,41,Two Year,Credit Card (Auto),Basic,32.48,1331.98,0,2023-12,0,No,24+ months,46–60,Mid ($30–55),1
CUST-00088,65,Male,5,One Year,Credit Card (Auto),Standard,59.2,289.6,2,2023-06,0,No,3–12 months,60+,High ($55–75),1
CUST-00089,32,Female,26,One Year,Credit Card (Auto),Standard,61.28,1596.96,3,2022-06,0,No,24+ months,26–35,High ($55–75),1
CUST-00090,25,Female,11,One Year,Credit Card (Auto),Premium,79.95,887.86,8,2023-09,0,No,3–12 months,18–25,Very High (>$75),1
CUST-00091,31,Male,6,Month-to-Month,Electronic Check,Standard,48.84,283.43,13,2023-08,0,No,3–12 months,26–35,Mid ($30–55),0
CUST-00092,40,Male,62,Month-to-Month,Credit Card (Auto),Basic,18.47,1140.17,5,2023-08,0,No,24+ months,36–45,Low (<$30),1
CUST-00093,57,Male,16,Two Year,Electronic Check,Basic,20.49,323.15,2,2022-10,1,Yes,12–24 months,46–60,Low (<$30),0
CUST-00094,38,Male,16,Month-to-Month,Electronic Check,Basic,29.33,461.26,42,2022-06,1,Yes,12–24 months,36–45,Low (<$30),0
CUST-00095,33,Male,5,Month-to-Month,Electronic Check,Basic,26.39,126.46,10,2022-12,0,No,3–12 months,26–35,Low (<$30),0
CUST-00096,62,Female,15,One Year,Mailed Check,Basic,30.78,459.38,20,2023-05,0,No,12–24 months,60+,Mid ($30–55),0
CUST-00097,35,Male,65,Month-to-Month,Bank Transfer (Auto),Standard,51.25,3340.05,17,2023-01,0,No,24+ months,26–35,Mid ($30–55),1
CUST-00098,64,Female,14,Month-to-Month,Mailed Check,Basic,24.23,346.43,5,2022-01,0,No,12–24 months,60+,Low (<$30),0
CUST-00099,70,Female,72,One Year,Electronic Check,Premium,93.09,6711.4,12,2022-04,0,No,24+ months,60+,Very High (>$75),0
CUST-00100,41,Female,72,One Year,Mailed Check,Standard,63.9,4593.21,13,2023-04,0,No,24+ months,36–45,High ($55–75),0
CUST-00101,43,Female,5,Month-to-Month,Mailed Check,Basic,33.66,158.86,6,2023-07,0,No,3–12 months,36–45,Mid ($30–55),0
CUST-00102,42,Male,6,Two Year,Bank Transfer (Auto),Standard,61.9,363.6,16,2022-05,0,No,3–12 months,36–45,High ($55–75),1
CUST-00103,62,Male,63,Month-to-Month,Electronic Check,Standard,59.69,3768.76,23,2023-01,1,Yes,24+ months,60+,High ($55–75),0
CUST-00104,58,Female,15,Month-to-Month,Electronic Check,Standard,63.52,945.95,6,2022-10,0,No,12–24 months,46–60,High ($55–75),0
CUST-00105,46,Female,1,Month-to-Month,Electronic Check,Basic,30.13,31.58,0,2022-05,1,Yes,0–3 months,46–60,Mid ($30–55),0
CUST-00106,32,Female,10,One Year,Electronic Check,Premium,94.21,936.65,6,2023-04,0,No,3–12 months,26–35,Very High (>$75),0
CUST-00107,62,Male,29,Month-to-Month,Bank Transfer (Auto),Basic,18.41,524.3,1,2022-01,0,No,24+ months,60+,Low (<$30),1
CUST-00108,18,Female,51,Month-to-Month,Mailed Check,Premium,93.66,4768.35,2,2022-12,1,Yes,24+ months,18–25,Very High (>$75),0
CUST-00109,42,Male,4,Two Year,Electronic Check,Basic,27.44,113.96,6,2023-03,1,Yes,3–12 months,36–45,Low (<$30),0
CUST-00110,24,Female,3,Month-to-Month,Mailed Check,Premium,79.89,233.32,3,2022-05,1,Yes,0–3 months,18–25,Very High (>$75),0
CUST-00111,26,Female,72,One Year,Mailed Check,Standard,51.64,3712.66,40,2022-06,0,No,24+ months,26–35,Mid ($30–55),0
CUST-00112,41,Male,44,One Year,Credit Card (Auto),Standard,62.48,2746.67,15,2022-11,0,No,24+ months,36–45,High ($55–75),1
CUST-00113,18,Female,28,Two Year,Electronic Check,Basic,26.59,747.66,10,2023-08,0,No,24+ months,18–25,Low (<$30),0
CUST-00114,61,Male,46,One Year,Credit Card (Auto),Basic,34.7,1595.59,0,2023-02,0,No,24+ months,60+,Mid ($30–55),1
CUST-00115,25,Male,17,Month-to-Month,Bank Transfer (Auto),Premium,79.99,1368.72,1,2022-02,1,Yes,12–24 months,18–25,Very High (>$75),1
CUST-00116,41,Female,45,Month-to-Month,Electronic Check,Premium,85.0,3823.68,23,2022-10,0,No,24+ months,36–45,Very High (>$75),0
CUST-00117,28,Female,14,Two Year,Credit Card (Auto),Standard,53.63,744.8,7,2022-12,0,No,12–24 months,26–35,Mid ($30–55),1
CUST-00118,68,Female,8,Two Year,Bank Transfer (Auto),Standard,56.76,454.8,0,2022-09,0,No,3–12 months,60+,High ($55–75),1
CUST-00119,34,Female,41,Month-to-Month,Bank Transfer (Auto),Basic,28.76,1178.18,26,2022-09,0,No,24+ months,26–35,Low (<$30),1
CUST-00120,25,Male,17,One Year,Mailed Check,Standard,59.24,1012.82,5,2022-10,0,No,12–24 months,18–25,High ($55–75),0
CUST-00121,52,Female,72,Month-to-Month,Mailed Check,Basic,18.01,1305.42,7,2022-07,1,Yes,24+ months,46–60,Low (<$30),0
CUST-00122,52,Female,13,Two Year,Electronic Check,Basic,19.5,260.23,10,2022-02,0,No,12–24 months,46–60,Low (<$30),0
CUST-00123,50,Male,72,Two Year,Electronic Check,Standard,48.59,3496.26,0,2023-11,1,Yes,24+ months,46–60,Mid ($30–55),0
CUST-00124,22,Female,72,Two Year,Credit Card (Auto),Standard,62.69,4508.0,19,2022-01,0,No,24+ months,18–25,High ($55–75),1
CUST-00125,59,Male,8,Two Year,Credit Card (Auto),Basic,23.32,194.85,44,2023-10,0,No,3–12 months,46–60,Low (<$30),1
CUST-00126,56,Female,51,Two Year,Electronic Check,Basic,24.23,1233.45,0,2023-10,0,No,24+ months,46–60,Low (<$30),0
CUST-00127,58,Male,18,Month-to-Month,Bank Transfer (Auto),Standard,55.65,1007.1,30,2023-09,0,No,12–24 months,46–60,High ($55–75),1
CUST-00128,45,Male,72,Two Year,Bank Transfer (Auto),Basic,32.43,2344.75,8,2023-11,0,No,24+ months,36–45,Mid ($30–55),1
CUST-00129,24,Male,19,One Year,Electronic Check,Premium,78.23,1487.92,31,2023-07,0,No,12–24 months,18–25,Very High (>$75),0
CUST-00130,26,Female,43,Two Year,Mailed Check,Basic,20.01,860.03,5,2023-11,0,No,24+ months,26–35,Low (<$30),0
CUST-00131,25,Male,20,One Year,Mailed Check,Basic,29.64,596.8,60,2023-10,0,No,12–24 months,18–25,Low (<$30),0
CUST-00132,29,Male,8,Month-to-Month,Bank Transfer (Auto),Premium,94.38,748.92,15,2023-07,0,No,3–12 months,26–35,Very High (>$75),1
CUST-00133,51,Female,7,One Year,Credit Card (Auto),Standard,58.92,412.2,14,2023-10,0,No,3–12 months,46–60,High ($55–75),1
CUST-00134,50,Female,17,One Year,Electronic Check,Basic,22.43,377.56,24,2022-01,0,No,12–24 months,46–60,Low (<$30),0
CUST-00135,65,Male,45,Month-to-Month,Mailed Check,Standard,56.83,2550.63,8,2022-02,0,No,24+ months,60+,High ($55–75),0
CUST-00136,40,Male,29,Month-to-Month,Bank Transfer (Auto),Basic,34.56,1004.44,4,2022-04,0,No,24+ months,36–45,Mid ($30–55),1
CUST-00137,41,Male,37,One Year,Bank Transfer (Auto),Standard,56.97,2109.4,4,2023-04,0,No,24+ months,36–45,High ($55–75),1
CUST-00138,54,Male,10,Month-to-Month,Electronic Check,Standard,54.34,548.62,6,2023-01,1,Yes,3–12 months,46–60,Mid ($30–55),0
CUST-00139,52,Female,21,Month-to-Month,Mailed Check,Standard,54.51,1152.17,14,2022-12,0,No,12–24 months,46–60,Mid ($30–55),0
CUST-00140,61,Female,1,Month-to-Month,Credit Card (Auto),Standard,64.43,58.84,27,2022-05,1,Yes,0–3 months,60+,High ($55–75),1
CUST-00141,57,Female,54,Two Year,Electronic Check,Standard,60.21,3256.93,10,2022-03,0,No,24+ months,46–60,High ($55–75),0
CUST-00142,39,Male,72,One Year,Mailed Check,Premium,89.67,6453.59,7,2023-08,0,No,24+ months,36–45,Very High (>$75),0
CUST-00143,44,Female,16,Month-to-Month,Credit Card (Auto),Standard,51.93,833.46,23,2022-02,0,No,12–24 months,36–45,Mid ($30–55),1
CUST-00144,52,Female,1,One Year,Electronic Check,Standard,57.5,64.5,5,2023-12,1,Yes,0–3 months,46–60,High ($55–75),0
CUST-00145,18,Female,5,One Year,Credit Card (Auto),Standard,54.05,265.37,17,2022-05,0,No,3–12 months,18–25,Mid ($30–55),1
CUST-00146,52,Female,33,Month-to-Month,Electronic Check,Basic,22.07,730.33,1,2022-01,0,No,24+ months,46–60,Low (<$30),0
CUST-00147,54,Female,30,Month-to-Month,Electronic Check,Premium,93.21,2795.91,1,2023-02,1,Yes,24+ months,46–60,Very High (>$75),0
CUST-00148,64,Female,49,One Year,Electronic Check,Premium,84.5,4146.31,15,2023-03,0,No,24+ months,60+,Very High (>$75),0
CUST-00149,31,Male,9,Month-to-Month,Electronic Check,Basic,22.8,209.14,1,2022-04,0,No,3–12 months,26–35,Low (<$30),0
CUST-00150,20,Female,46,One Year,Electronic Check,Premium,93.83,4321.57,2,2022-12,0,No,24+ months,18–25,Very High (>$75),0
CUST-00151,18,Female,37,Month-to-Month,Bank Transfer (Auto),Standard,51.34,1895.34,14,2022-10,1,Yes,24+ months,18–25,Mid ($30–55),1
CUST-00152,22,Female,12,Month-to-Month,Electronic Check,Standard,60.66,732.01,8,2023-06,0,No,3–12 months,18–25,High ($55–75),0
CUST-00153,43,Male,25,Two Year,Credit Card (Auto),Basic,29.09,729.37,12,2022-09,0,No,24+ months,36–45,Low (<$30),1
CUST-00154,31,Female,5,Month-to-Month,Mailed Check,Standard,63.64,317.33,56,2022-05,0,No,3–12 months,26–35,High ($55–75),0
CUST-00155,56,Female,19,One Year,Mailed Check,Standard,62.13,1178.04,14,2023-10,0,No,12–24 months,46–60,High ($55–75),0
CUST-00156,44,Male,68,Month-to-Month,Mailed Check,Basic,29.98,2035.27,13,2022-09,1,Yes,24+ months,36–45,Low (<$30),0
CUST-00157,26,Male,17,Month-to-Month,Bank Transfer (Auto),Standard,53.34,896.97,7,2023-07,1,Yes,12–24 months,26–35,Mid ($30–55),1
CUST-00158,32,Female,58,Month-to-Month,Mailed Check,Premium,86.41,5005.17,14,2023-08,0,No,24+ months,26–35,Very High (>$75),0
CUST-00159,32,Female,28,Month-to-Month,Electronic Check,Standard,64.05,1784.58,0,2023-05,0,No,24+ months,26–35,High ($55–75),0
CUST-00160,43,Female,6,Month-to-Month,Credit Card (Auto),Standard,48.38,297.25,12,2023-03,0,No,3–12 months,36–45,Mid ($30–55),1
CUST-00161,59,Male,27,Month-to-Month,Mailed Check,Standard,61.49,1667.43,1,2023-02,0,No,24+ months,46–60,High ($55–75),0
CUST-00162,30,Female,22,One Year,Electronic Check,Basic,22.27,496.86,3,2023-12,0,No,12–24 months,26–35,Low (<$30),0
CUST-00163,68,Male,16,One Year,Mailed Check,Premium,81.14,1304.6,12,2023-06,0,No,12–24 months,60+,Very High (>$75),0
CUST-00164,49,Male,4,Month-to-Month,Bank Transfer (Auto),Premium,81.94,322.19,16,2023-02,0,No,3–12 months,46–60,Very High (>$75),1
CUST-00165,56,Male,17,Two Year,Electronic Check,Standard,49.01,833.01,7,2023-08,0,No,12–24 months,46–60,Mid ($30–55),0
CUST-00166,66,Male,2,Month-to-Month,Credit Card (Auto),Basic,34.85,77.86,8,2022-03,0,No,0–3 months,60+,Mid ($30–55),1
CUST-00167,69,Male,3,Month-to-Month,Bank Transfer (Auto),Basic,32.78,103.54,10,2023-09,1,Yes,0–3 months,60+,Mid ($30–55),1
CUST-00168,49,Male,17,One Year,Bank Transfer (Auto),Basic,26.85,446.49,21,2022-02,0,No,12–24 months,46–60,Low (<$30),1
CUST-00169,21,Male,11,Month-to-Month,Mailed Check,Standard,60.15,660.84,0,2023-08,0,No,3–12 months,18–25,High ($55–75),0
CUST-00170,47,Male,72,Month-to-Month,Credit Card (Auto),Basic,27.45,1966.61,8,2023-09,1,Yes,24+ months,46–60,Low (<$30),1
CUST-00171,54,Female,15,Month-to-Month,Electronic Check,Standard,61.79,922.46,0,2022-06,0,No,12–24 months,46–60,High ($55–75),0
CUST-00172,40,Male,45,Two Year,Bank Transfer (Auto),Standard,62.35,2804.47,5,2023-12,0,No,24+ months,36–45,High ($55–75),1
CUST-00173,56,Male,24,One Year,Electronic Check,Basic,21.95,534.66,11,2022-09,0,No,12–24 months,46–60,Low (<$30),0
CUST-00174,62,Female,38,Month-to-Month,Bank Transfer (Auto),Standard,55.81,2123.87,1,2022-01,0,No,24+ months,60+,High ($55–75),1
CUST-00175,32,Male,9,Month-to-Month,Electronic Check,Basic,28.78,256.27,9,2023-03,0,No,3–12 months,26–35,Low (<$30),0
CUST-00176,60,Female,72,Two Year,Electronic Check,Premium,94.62,6812.45,38,2022-01,1,Yes,24+ months,46–60,Very High (>$75),0
CUST-00177,46,Male,24,One Year,Credit Card (Auto),Standard,59.6,1436.75,17,2022-03,1,Yes,12–24 months,46–60,High ($55–75),1
CUST-00178,53,Male,56,Month-to-Month,Mailed Check,Basic,33.25,1857.99,22,2023-12,1,Yes,24+ months,46–60,Mid ($30–55),0
CUST-00179,30,Female,14,Month-to-Month,Mailed Check,Basic,32.37,455.48,13,2023-04,1,Yes,12–24 months,26–35,Mid ($30–55),0
CUST-00180,49,Female,3,Month-to-Month,Bank Transfer (Auto),Premium,87.89,258.91,34,2023-03,1,Yes,0–3 months,46–60,Very High (>$75),1
CUST-00181,24,Female,35,Month-to-Month,Bank Transfer (Auto),Standard,63.18,2210.9,2,2023-03,0,No,24+ months,18–25,High ($55–75),1
CUST-00182,68,Female,1,Two Year,Electronic Check,Standard,54.41,44.9,8,2022-05,0,No,0–3 months,60+,Mid ($30–55),0
CUST-00183,39,Female,20,Month-to-Month,Electronic Check,Basic,24.44,495.85,13,2022-10,1,Yes,12–24 months,36–45,Low (<$30),0
CUST-00184,45,Male,6,Month-to-Month,Credit Card (Auto),Standard,61.27,358.59,31,2023-10,1,Yes,3–12 months,36–45,High ($55–75),1
CUST-00185,19,Male,31,Two Year,Bank Transfer (Auto),Basic,20.28,623.17,5,2022-11,0,No,24+ months,18–25,Low (<$30),1
CUST-00186,59,Male,72,One Year,Mailed Check,Premium,83.19,5986.35,0,2022-08,0,No,24+ months,46–60,Very High (>$75),0
CUST-00187,62,Male,19,One Year,Credit Card (Auto),Premium,88.34,1680.96,54,2023-03,1,Yes,12–24 months,60+,Very High (>$75),1
CUST-00188,70,Female,54,Month-to-Month,Mailed Check,Standard,55.13,2981.42,0,2023-08,0,No,24+ months,60+,High ($55–75),0
CUST-00189,23,Female,22,One Year,Electronic Check,Premium,93.98,2059.17,2,2022-12,0,No,12–24 months,18–25,Very High (>$75),0
CUST-00190,45,Male,21,One Year,Electronic Check,Basic,34.28,710.75,8,2022-04,1,Yes,12–24 months,36–45,Mid ($30–55),0
